"NCT ID",Title,Phase,"Date Added",Location,"Immunotherapy-centered Trial","Prior Immunotherapy Allowed","CRC-directed Trial","Program Status",Drugs
NCT02484404,"Phase I/II Study of the Anti-Programmed Death Ligand-1 Durvalumab Antibody (MEDI4736) in Combination With Olaparib and/or Cediranib for Advanced Solid Tumors and Advanced or Recurrent Ovarian, Triple Negative Breast, Lung, Prostate and Colorectal Can...","Phase 1, Phase 2",2015-06-29,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Recruiting, Bethesda, Maryland, 20892, United States
",Yes,Yes,Yes,Recruiting,"Cediranib, durvalumab, Olaparib"
NCT02499328,"Study to Assess MEDI4736 With Either AZD9150 or AZD5069 in Advanced Solid Tumors & Relapsed Metastatic Squamous Cell Carcinoma of Head & Neck","Phase 1/Phase 2",2015-07-16,"Research Site, Birmingham, Alabama, 35294, United States
Research Site, Duarte, California, 91010, United States
Research Site, La Jolla, California, 92093, United States
Research Site, Los Angeles, California, 90024, United States
Research Site, Los Angeles, California, 90089, United States
Research Site, Orange, California, 92868-3298, United States
Research Site, San Francisco, California, 94158, United States
Research Site, Denver, Colorado, 80218, United States
Research Site, Plantation, Florida, 33324, United States
Research Site, Sarasota, Florida, 34232, United States
Research Site, Lafayette, Indiana, 47905, United States
Research Site, Boston, Massachusetts, 02111, United States
Research Site, Detroit, Michigan, 48201, United States
Research Site, Billings, Montana, 59101, United States
Research Site, Morristown, New Jersey, 07960, United States
Research Site, Cincinnati, Ohio, 45267-2827, United States
Research Site, Houston, Texas, 77030, United States
Research Site, Fairfax, Virginia, 22031, United States
Research Site, Seattle, Washington, 98109, United States
Research Site, Antwerpen, 2020, Belgium
Research Site, Brussels, 1000, Belgium
Research Site, Bruxelles, 1200, Belgium
Research Site, Edegem, 2650, Belgium
Research Site, Namur, 5000, Belgium
Research Site, Berlin, 12200, Germany
Research Site, Dresden, 1307, Germany
Research Site, Frankfurt, 60488, Germany
Research Site, Hamburg, 20246, Germany
Research Site, Hannover, 30625, Germany
Research Site, Jena, 07743, Germany
Research Site, Köln, 50670, Germany
Research Site, München, 81675, Germany
Research Site, Milano, 20133, Italy
Research Site, Barcelona, 08035, Spain
Research Site, Hospitalet deLlobregat, 08907, Spain
Research Site, Madrid, 28040, Spain
Research Site, Madrid, 28041, Spain
Research Site, Toledo, 45004, Spain
Research Site, Birmingham, B15 2TH, United Kingdom
Research Site, London, SE1 9RT, United Kingdom
Research Site, London, SW3 6JB, United Kingdom
Research Site, Manchester, M20 4BX, United Kingdom
Research Site, Taunton, TA1 5DA, United Kingdom
",Yes,No,No,"Active, not recruiting","AZD5069, AZD9150, MEDI4736, tremelimumab (treme)"
NCT02503774,"MEDI9447 Alone and in Combination With MEDI4736 in Adult Subjects With Select Advanced Solid Tumors","Phase 1",2015-07-21,"Research Site, La Jolla, California, 92093, United States
Research Site, New Haven, Connecticut, 06510, United States
Research Site, Gainesville, Florida, 32610, United States
Research Site, Atlanta, Georgia, 30318, United States
Research Site, Saint Louis, Missouri, 63156, United States
Research Site, Durham, North Carolina, 27705, United States
Research Site, Cincinnati, Ohio, 45267, United States
Research Site, Columbus, Ohio, 43210, United States
Research Site, Nashville, Tennessee, 37203, United States
Research Site, Dallas, Texas, 75230, United States
Research Site, Houston, Texas, 77030, United States
Research Site, Camperdown, 2050, Australia
Research Site, Parkville, 3050, Australia
Research Site, St Leonards, 2065, Australia
Research Site, Woolloongabba, 4068, Australia
Research Site, Seoul, 03080, Korea, Republic of
Research Site, Seoul, 05505, Korea, Republic of
Research Site, Seoul, 06351, Korea, Republic of
",No,Yes,Yes,"Active, not recruiting","Imfinzi, MEDI9447, MEDI9447 and MEDI4736"
NCT02509507,"Trial to Evaluate the Safety of Talimogene Laherparepvec Injected Into Tumors Alone and in Combination With Systemic Pembrolizumab MK-3475-611/Keynote-611","Phase 1/Phase 2",2015-07-28,"HonorHealth Research Institute, Scottsdale, Arizona, 85258, United States
University of California Los Angeles, Santa Monica, California, 90404, United States
Georgetown-Howard University Center for Clinical Translational Science, Washington, District of Columbia, 20007, United States
University of Louisville James Graham Brown Cancer Center, Louisville, Kentucky, 40202, United States
Washington University School of Medicine, Center for Advanced Medicine, Saint Louis, Missouri, 63110, United States
Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, 08903, United States
Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States
University of Pittsburgh, Pittsburgh, Pennsylvania, 15213, United States
University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States
Liverpool Hospital, Liverpool, New South Wales, 2170, Australia
Melanoma Institute Australia, North Sydney, New South Wales, 2060, Australia
Tasman Oncology Research, Southport, Queensland, 4215, Australia
Landeskrankenhaus Salzburg, Salzburg, 5020, Austria
Universite Catholique de Louvain Cliniques Universitaires Saint Luc, Bruxelles, 1200, Belgium
Universitair Ziekenhuis Antwerpen, Edegem, 2650, Belgium
Universitair Ziekenhuis Gent, Gent, 9000, Belgium
Charite Universitätsmedizin Berlin, Charité Campus Virchow-Klinikum, Berlin, 13353, Germany
Universitätsklinikum Bonn, Bonn, 53127, Germany
Kreiskliniken Reutlingen - Klinikum am Steinenberg, Reutlingen, 72764, Germany
Universitätsklinikum Tübingen, Tübingen, 72076, Germany
Cha Bundang Medical Center, Cha University, Seongnam-si, Gyeonggi-do, 463-712, Korea, Republic of
Seoul National University Hospital, Seoul, 03080, Korea, Republic of
Severance Hospital Yonsei University Health System, Seoul, 120-752, Korea, Republic of
Uniwersyteckie Centrum Kliniczne, Gdansk, 80-214, Poland
Hospital Universitari Vall d Hebron, Barcelona, Cataluña, 08035, Spain
Hospital Clinic i Provincial de Barcelona, Barcelona, Cataluña, 08036, Spain
Hospital General Universitario Gregorio Marañon, Madrid, 28009, Spain
Hospital Universitario Madrid Sanchinarro, Madrid, 28050, Spain
Hopitaux Universitaires de Geneve, Geneva 14, 1211, Switzerland
Centre Hospitalier Universitaire Vaudois, Lausanne, 1011, Switzerland
Kantonsspital Winterthur, Winterthur, 8401, Switzerland
Universitaetsspital Zuerich, Zurich, 8091, Switzerland
",Yes,Yes,No,"Active, not recruiting","Imlygic, Keytruda, T-VEC, Pembrolizumab, Talimogene Laherparepvec"
NCT02517398,"MSB0011359C (M7824) in Metastatic or Locally Advanced Solid Tumors","Phase 1",2015-08-07,"Arizona Clinical Research Center, Tucson, Arizona, 85715, United States
Pacific Oncology Associates, Escondido, California, 92025, United States
University of California Davis Health System, Sacramento, California, 95817, United States
California Pacific Medical Center, San Francisco, California, 94118, United States
Innovative Clinical Research Institute, Whittier, California, 90603, United States
Rocky Mountain Cancer Centers, LLP, Denver, Colorado, 80218, United States
Eastern Connecticut Hematology/Oncology Assoc., Norwich, Connecticut, 06360, United States
Sylvester Cancer Center, Miami, Florida, 33136, United States
Hematology - Oncology Associates of Treasure Coast, Port Saint Lucie, Florida, 34952, United States
University Cancer & Blood Center, LLC, Athens, Georgia, 30607, United States
Southeastern Regional Medical Center, Newnan, Georgia, 30265, United States
Metairie Oncologists, LLC, Metairie, Louisiana, 70006, United States
National Cancer Institute, Bethesda, Maryland, 20892, United States
Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States
Henry Ford Health System, Detroit, Michigan, 48202, United States
Michigan State University, Lansing, Michigan, 48910, United States
Washington University, Saint Louis, Missouri, 63110, United States
Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, 89169, United States
University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, 27599, United States
UC Health Clinical Trials Office, Cincinnati, Ohio, 45206, United States
Case Comprehensive Cancer Center, Cleveland, Ohio, 44106, United States
Penn State University Milton S. Hershey Medical Center, Hershey, Pennsylvania, 17033, United States
Rhode Island Hospital, Providence, Rhode Island, 02903, United States
Medical University of South Carolina, Charleston, South Carolina, 29425, United States
Greenville Hospital System University Medical Center (ITOR), Greenville, South Carolina, 29605, United States
Tennessee Cancer Specialists, Knoxville, Tennessee, 37909, United States
Texas Oncology, P.A. - Austin, Austin, Texas, 78705, United States
Mary Crowley Cancer Research Centers, Dallas, Texas, 75230, United States
Texas Oncology, P.A. - Fort Worth, Fort Worth, Texas, 76104, United States
Oncology Consultants, P.A., Houston, Texas, 77030, United States
University of Texas M. D. Anderson Cancer Center - Investigational Cancer Therapeutics, Houston, Texas, 77030, United States
South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, 78229, United States
Texas Oncology, P.A. - Tyler, Tyler, Texas, 75702, United States
Virginia Cancer Specialists, PC, Fairfax, Virginia, 22031, United States
Virginia Oncology Associates - Hampton, Norfolk, Virginia, 23502, United States
Compass Oncology, Vancouver, Washington, 98684, United States
Blacktown Hospital, Blacktown, New South Wales, 2148, Australia
St George Hospital, Kogarah, New South Wales, 2217, Australia
Liverpool Hospital, Liverpool, New South Wales, 2170, Australia
Port Macquarie Base Hospital, Port Macquarie, New South Wales, 2444, Australia
Royal North Shore Hospital, St Leonards, New South Wales, 2065, Australia
Calvary Mater Newcastle, Waratah, New South Wales, 2298, Australia
Gallipoli Medical Research Foundation Ltd, Greenslopes, Queensland, 4120, Australia
Tasman Oncology Research Ltd, Southport, Queensland, 4216, Australia
The Queen Elizabeth Hospital, Woodville South, South Australia, 5011, Australia
Peter MacCallum Cancer Centre-East Melbourne, East Melbourne, Victoria, 3002, Australia
Cabrini Hospital Malvern, Malvern, Victoria, 3144, Australia
Border Medical Oncology Research Unit, Wodonga, Victoria, 3690, Australia
Fiona Stanley Hospital, Murdoch, Western Australia, 6150, Australia
Linear Clinical Research Limited, Nedlands, Western Australia, 6009, Australia
Institut Jules Bordet, Bruxelles, 1000, Belgium
Cliniques Universitaires Saint-Luc, Bruxelles, 1200, Belgium
Grand Hôpital de Charleroi, Charleroi, 6000, Belgium
UZ Antwerpen, Edegem, 2650, Belgium
Universitair Ziekenhuis Gent, Gent, 9000, Belgium
Centre Hospitalier de l'Ardenne, Libramont, 6800, Belgium
C. H. U. Sart Tilman, Liège, 4000, Belgium
GZA Ziekenhuizen - Campus Sint-Augustinus, Wilrijk, 2610, Belgium
Cross Cancer Institute, Edmonton, Alberta, T6G 1Z2, Canada
Centre Antoine Lacassagne, Nice cedex 02, Alpes Maritimes, 06189, France
Centre Paul Strauss, Strasbourg Cedex, Bas Rhin, 67000, France
Hôpital de la Timone#, Marseille cedex 5, Bouches-du-Rhône, 13385, France
Centre Georges François Leclerc, Dijon cedex, Côte-d'Or, 21079, France
CHU Bordeaux - Hôpital Saint André, Bordeaux cedex, Gironde, 33075, France
Institut Claudius Regaud-Oncopole, Toulouse cedex 09, Haute Garonne, 31059, France
CHU de Grenoble - Hôpital Nord, Grenoble cedex 9, Isere, 38043, France
ICO - Site René Gauducheau, Saint Herblain, Loire Atlantique, 44805, France
Centre Oscar Lambret, Lille cedex, Nord, 59020, France
Institut Curie - Centre de Lutte Contre le Cancer (CLCC) de Paris, Paris Cedex 05, Paris, 75248, France
Hôpital Saint-Louis, Paris Cedex 10, Paris, 75475, France
Groupe Hospitalier Pitie-Salpetriere, Paris cedex 12, Paris, 75571, France
Centre Hospitalier de la Croix Rousse, Lyon Cedex 04, Rhone, 69317, France
Centre Léon Bérard, Lyon, Rhone, 69008, France
Hôpital Henri Mondor, Créteil Cedex, Val De Marne, 94010, France
Institut Régional du Cancer de Montpellier, Montpellier, 34298, France
Medizinische Hochschule Hannover, Hannover, Niedersachsen, 30625, Germany
Cellex Koeln, Koeln, Nordrhein Westfalen, 50670, Germany
Universitaetsklinikum Carl Gustav Carus TU Dresden, Dresden, Sachsen, 01307, Germany
Charite Universitaetsmedizin Berlin - Campus Charite Mitte, Berlin, 10117, Germany
Fondazione del Piemonte per l'Oncologia IRCC Candiolo, Candiolo, Torino, 10060, Italy
Ospedale San Raffaele, Milano, 20132, Italy
Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, 20133, Italy
IEO Istituto Europeo di Oncologia, Milano, 20141, Italy
Istituto Nazionale Tumori Fondazione G. Pascale, Napoli, 80131, Italy
Fondazione IRCCS Policlinico San Matteo, Pavia, 27100, Italy
Azienda Ospedaliero Universitaria Pisana, Pisa, 56126, Italy
Policlinico Universitario Agostino Gemelli, Roma, 00168, Italy
A.O.U. Senese Policlinico Santa Maria alle Scotte, Siena, 53100, Italy
National Cancer Center Hospital East, Kashiwa-shi, Chiba-Ken, 277-8577, Japan
Kindai University Hospital, Osakasayama-shi, Osaka-Fu, 589-8511, Japan
Chungbuk National University Hospital, Cheongju-si, Chungcheongbuk-do, 28644, Korea, Republic of
Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, 13620, Korea, Republic of
Pusan National University Hospital, Busan, 49241, Korea, Republic of
Seoul National University Hospital, Seoul, 03080, Korea, Republic of
Asan Medical Center, Seoul, 05505, Korea, Republic of
Samsung Medical Center, Seoul, 135-710, Korea, Republic of
Hospital Infanta Cristina, Badajoz, 06080, Spain
Hospital Universitari Vall d'Hebron, Barcelona, 08035, Spain
Hospital Clinic i Provincial de Barcelona, Barcelona, 08036, Spain
Hospital General Universitario Gregorio Marañon, Madrid, 28007, Spain
Hospital Universitario Ramon y Cajal, Madrid, 28034, Spain
Hospital Universitario Clinico San Carlos, Madrid, 28040, Spain
Hospital Universitario 12 de Octubre, Madrid, 28041, Spain
Centro Integral Oncologico Clara Campal, Madrid, 28050, Spain
Hospital Universitario Virgen Macarena, Sevilla, 41009, Spain
Hospital Universitario Virgen del Rocio, Sevilla, 41013, Spain
Hospital Clinico Universitario de Valencia, Valencia, 46010, Spain
Hospital Universitari i Politecnic La Fe, Valencia, 46026, Spain
National Taiwan University Hospital, Taipei, 100, Taiwan
Mackay Memorial Hospital, Taipei, 104, Taiwan
Taipei Medical University Hospital, Taipei, 110, Taiwan
Guy's Hospital, London, Greater London, SE1 9RT, United Kingdom
University College London Hospitals, London, Greater London, WC1E 6AG, United Kingdom
The Christie, Manchester, Greater Manchester, M20 4BX, United Kingdom
Southampton General Hospital, Southampton, Hampshire, SO16 6YD, United Kingdom
Beatson West of Scotland Cancer Centre, Glasgow, Strathclyde, G12 OYN, United Kingdom
Northern Centre for Cancer Care, Newcastle upon Tyne, Tyne & Wear, NE7 7DN, United Kingdom
Queen Elizabeth Hospital, Birmingham, West Midlands, B15 2TG, United Kingdom
",No,Yes,No,"Active, not recruiting",MSB0011359C
NCT02534675,"Study of Molecular Profile-Related Evidence to Determine Individualized Therapy for Advanced or Poor Prognosis Cancers",None,2015-08-28,"UCSD Moores Cancer Center, La Jolla, California, 92093, United States
Avera Cancer Institute, Sioux Falls, South Dakota, 57105, United States
",No,Yes,No,"Active, not recruiting",
NCT02537418,"Durvalumab With or Without Tremelimumab in Advanced Incurable Solid Malignancies Given With or Without Standard Chemotherapy Regimens","Phase 1",2015-09-01,"Tom Baker Cancer Centre, Calgary, Alberta, T2N 4N2, Canada
BCCA - Vancouver Cancer Centre, Vancouver, British Columbia, V5Z 4E6, Canada
Juravinski Cancer Centre at Hamilton Health Sciences, Hamilton, Ontario, L8V 5C2, Canada
Cancer Centre of Southeastern Ontario at Kingston, Kingston, Ontario, K7L 5P9, Canada
Ottawa Hospital Research Institute, Ottawa, Ontario, K1H 8L6, Canada
University Health Network, Toronto, Ontario, M5G 2M9, Canada
CHUM - Hopital Notre-Dame, Montreal, Quebec, H2L 4M1, Canada
",Yes,Yes,No,"Active, not recruiting","Imfinzi, durvalumab, Tremelimumab"
NCT02554812,"A Study Of Avelumab In Combination With Other Cancer Immunotherapies In Advanced Malignancies (JAVELIN Medley)","Phase 2",2015-09-18,"UCSD Medical Center - Encinitas, Encinitas, California, 92024, United States
Koman Family Outpatient Pavilion, La Jolla, California, 92037, United States
UC San Diego Medical Center - La Jolla (Jacobs Medical Center / Thornton Pavilion), La Jolla, California, 92037, United States
UC San Diego Perlman Medical Offices, La Jolla, California, 92037, United States
UC San Diego Moores Cancer Center, La Jolla, California, 92093, United States
UCLA Clinical Research Unit (Adminstration Office), Los Angeles, California, 90024, United States
Ronald Reagan UCLA Medical Center, Los Angeles, California, 90095, United States
UCLA Hematology-Oncology Clinic, Los Angeles, California, 90095, United States
UCLA Hematology-Oncology Infusion Center, Los Angeles, California, 90095, United States
UC San Diego Medical Center - Hillcrest, San Diego, California, 92103, United States
UCSD Medical Center - Vista, Vista, California, 92081, United States
Georgetown University Medical Center, Washington, District of Columbia, 20007, United States
Mount Sinai Comprehensive Cancer Center - Aventura, Aventura, Florida, 33180, United States
Mount Sinai Comprehensive Cancer Center, Miami Beach, Florida, 33140, United States
Florida Cancer Specialists, Sarasota, Florida, 34232, United States
H Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, 33612, United States
University of Iowa Hospitals and Clinics, Iowa City, Iowa, 52242, United States
University of Michigan Hospitals, Ann Arbor, Michigan, 48109-5008, United States
University of Michigan, Ann Arbor, Michigan, 48109, United States
Investigational Pharmacy, Karmanos Cancer Center, Detroit, Michigan, 48201, United States
Karmanos Cancer Institute, Detroit, Michigan, 48201, United States
Karmanos Cancer Institute Weisberg Cancer Treatment Center, Farmington Hills, Michigan, 48334, United States
VA NY Harbor Healthcare System, New York, New York, 10010, United States
NYU Investigational Pharmacy, New York, New York, 10016, United States
NYU Langone Medical Center, New York, New York, 10016, United States
NYU Laura and Isaac Perlmutter Cancer Center, New York, New York, 10016, United States
Weill Cornell Medical College, New York, New York, 10021, United States
Research Pharmacy #PH#, New York, New York, 10065, United States
Weill Cornell Medical College/New York Presbyterian Hospital, New York, New York, 10065, United States
Sampson Regional Medical Center, Clinton, North Carolina, 28328, United States
Southeastern Medical Oncology Center, Clinton, North Carolina, 28328, United States
Southeastern Medical Oncology Center, Goldsboro, North Carolina, 27534, United States
Wayne Memorial Hospital, Goldsboro, North Carolina, 27534, United States
Onslow Memorial Hospital, Jacksonville, North Carolina, 28546, United States
Southeastern Medical Oncology Center, Jacksonville, North Carolina, 28546, United States
Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States
University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, 15232, United States
UPCI Investigational Drug Service, Pittsburgh, Pennsylvania, 15232, United States
UPMC Shadyside Hospital, Pittsburgh, Pennsylvania, 15232, United States
Rhode Island Hospital, Providence, Rhode Island, 02903, United States
Miriam Hospital, Providence, Rhode Island, 02906, United States
Sanford Cancer Center Oncology Clinic & Pharmacy, Sioux Falls, South Dakota, 57104, United States
Sanford Gynecologic Oncology Clinic, Sioux Falls, South Dakota, 57104, United States
Sanford Interventional Radiology, Sioux Falls, South Dakota, 57104, United States
Sanford ENT Clinic, Sioux Falls, South Dakota, 57105, United States
Sanford Research, Sioux Falls, South Dakota, 57105, United States
Sanford USD Medical Center, Sioux Falls, South Dakota, 57105, United States
Tennessee Oncology, PLLC, Nashville, Tennessee, 37203, United States
The Sarah Cannon Research Institute / Tennessee Oncology, PLLC, Nashville, Tennessee, 37203, United States
Henry-Joyce Cancer Clinic, Nashville, Tennessee, 37232, United States
Vanderbilt University Oncology Pharmacy, Nashville, Tennessee, 37232, United States
University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States
UT Southwestern Simmons Comprehensive Cancer Center, Dallas, Texas, 75390, United States
The University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States
Seattle Cancer Care Alliance, Seattle, Washington, 98109, United States
University of Washington Medical Center, Seattle, Washington, 98195, United States
Chris O'Brien Lifehouse, Camperdown, New South Wales, 2050, Australia
Macquarie University, Macquarie University, New South Wales, 2109, Australia
Melanoma Institute Australia, North Sydney, New South Wales, 2060, Australia
The Mater Hospital, North Sydney, New South Wales, 2060, Australia
Baxter Healthcare, Old Toongabie, New South Wales, 2146, Australia
Brighton Medical Imaging, Brighton, Victoria, 3186, Australia
Cabrini Hospital Brighton, Brighton, Victoria, 3186, Australia
Austin Health, Heidelberg, Victoria, 3084, Australia
Cabrini Hospital Malvern, Malvern, Victoria, 3144, Australia
Cabrini Hospital, Malvern, Victoria, 3144, Australia
Malvern Medical Imaging, Malvern, Victoria, 3144, Australia
Macquarie Heart, New South Wales, 2109, Australia
Cross Cancer Institute, Edmonton, Alberta, T6G 1Z2, Canada
British Columbia Cancer Agency - Vancouver Centre, Vancouver, British Columbia, V5Z 4E6, Canada
The Ottawa Hospital Cancer Centre, Ottawa, Ontario, K1H 8L6, Canada
Princess Margaret Cancer Centre, Toronto, Ontario, M5G 2M9, Canada
PH 145294, Centre Hospitalier de l'Universite de Montreal (CHUM), Oncology Research Pharmacy, Montreal, Quebec, H2X 0C2, Canada
Centre Hospitalier de l'Université de Montréal (CHUM), Montreal, Quebec, H2X 3E4, Canada
Institut Gustave Roussy, Villejuif, Cedex, 94805, France
Institut Gustave Roussy, Villejuif, 94805, France
National Cancer Center Hospital East, Kashiwa, Chiba, 277-8577, Japan
National Cancer Center Hospital, Chuo-ku, Tokyo, 104-0045, Japan
Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie - Panstwowy Instytut Badawczy, Warszawa, Mazowieckie, 02-781, Poland
Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie - Panstwowy Instytut Badawczy, Warszawa, 02-781, Poland
Investigational Drug Services, National Taiwan University Hospital, Taipei, 100, Taiwan
National Taiwan University Hospital, Taipei, 100, Taiwan
The Royal Marsden Hospital, London, SW3 6JJ, United Kingdom
The Royal Marsden NHS Foundation Trust, London, SW3 6JJ, United Kingdom
Sarah Cannon Research Institute UK, London, W1G 6AD, United Kingdom
The Harley Street Clinic, London, W1G 7LJ, United Kingdom
The Harley Street Clinic, London, W1G 8PP, United Kingdom
",Yes,Yes,No,"Active, not recruiting","Avelumab, CMP-001, PD 0360324, PF-04518600, Utomilumab"
NCT02600949,"Personalized Peptide Vaccine in Treating Patients With Advanced Pancreatic Cancer or Colorectal Cancer","Phase 1",2015-11-09,"M D Anderson Cancer Center, Recruiting, Houston, Texas, 77030, United States
",Yes,Yes,Yes,Recruiting,"imiquimod, Pembrolizumab, Sotigalimab, Synthetic Tumor-Associated Peptide Vaccine Therapy"
NCT02608385,"Study of PD1 Blockade by Pembrolizumab With Stereotactic Body Radiotherapy in Advanced Solid Tumors","Phase 1",2015-11-18,"University of Chicago, Chicago, Illinois, 60637, United States
",Yes,Yes,No,"Active, not recruiting",Pembrolizumab
NCT02617277,"Safety, Tolerability and Pharmacokinetics of AZD1775 (Adavosertib) Plus MEDI4736 (Durvalumab) in Patients With Advanced Solid Tumours","Phase 1",2015-11-30,"Research Site, Denver, Colorado, 80218, United States
Research Site, Sarasota, Florida, 34232, United States
Research Site, Nashville, Tennessee, 37203, United States
",Yes,Yes,No,"Active, not recruiting","AZD1775, MEDI4736"
NCT02658890,"An Investigational Immuno-therapy Study of BMS-986205 Given in Combination With Nivolumab and in Combination With Both Nivolumab and Ipilimumab in Cancers That Are Advanced or Have Spread","Phase 1/Phase 2",2016-01-20,"University of Arizona Cancer Center, Tucson, Arizona, 85724-5024, United States
UCSD Moores Cancer Center, La Jolla, California, 92093-0698, United States
H. Lee Moffitt Cancer Center, Tampa, Florida, 33612-9497, United States
Emory Winship Cancer Institute, Atlanta, Georgia, 30322, United States
Northside Hospital, Inc, Atlanta, Georgia, 30342, United States
University Of Chicago, Chicago, Illinois, 60637, United States
Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Lutherville, Maryland, 21093, United States
Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, 48201, United States
Washington University, Saint Louis, Missouri, 63110, United States
Hackensack University Medical Center, Hackensack, New Jersey, 07601, United States
New York University, New York, New York, 10016, United States
Cleveland Clinic, Cleveland, Ohio, 44195, United States
Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111-2412, United States
UPMC Hillman Cancer Center, Pittsburgh, Pennsylvania, 15232, United States
Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States
The Kinghorn Cancer Centre, Darlinghurst, New South Wales, 2010, Australia
Melanoma Institute Australia, North Sydney, New South Wales, 2146, Australia
Local Institution, Westmead, New South Wales, 2145, Australia
Princess Alexandra Hospital, Brisbane, Queensland, 4102, Australia
Local Institution, Clayton, Victoria, 3168, Australia
Peter MacCallum Cancer Centre, Melbourne, Victoria, 3000, Australia
Linear Clinical Research Ltd, Nedlands, Western Australia, 6009, Australia
Cross Cancer Institute, Edmonton, Alberta, T6G 1Z2, Canada
Local Institution, Vancouver, British Columbia, V5Z 4E6, Canada
Local Institution, Toronto, Ontario, M5G 1Z5, Canada
Local Institution, Greenfield Park, Quebec, J4V 2H1, Canada
Jewish General Hospital, Montreal, Quebec, H3T 1E2, Canada
Local Institution, Helsinki, 00180, Finland
Hopital Claude Huriez, Lille CEDEX, 59037, France
Local Institution, Lyon Cedex 08, 69373, France
Local Institution, Marseille Cedex 5, 13385, France
Hotel Dieu - Chu De Nantes, Nantes Cedex 01, 44093, France
Local Institution, Paris, 75005, France
Local Institution, Toulouse, 31100, France
Institut Gustave Roussy, Villejuif, 94800, France
Local Institution, Essen, 45147, Germany
Local Institution, Heilbronn, 74078, Germany
Ospedale San Raffaele, Milano, 20132, Italy
IRCCS Istituto Nazionale Tumori Milano, Milano, 20133, Italy
Istituto Europeo Di Oncologia, Milano, 20141, Italy
Istituto Clinico Humanitas, Rozzano MI, 20089, Italy
Local Institution, Oslo, 0424, Norway
Oddzial Badan Wczesnych Faz, Warszawa, Mazowieckie, 02-781, Poland
Local Institution, Barcelona, 08035, Spain
Local Institution, Madrid, 28040, Spain
Local Institution, Madrid, 28050, Spain
Local Institution, Solna, 171 64, Sweden
",Yes,Yes,No,"Active, not recruiting","BMS-986205, Ipilimumab, Nivolumab"
NCT02668770,"Ipilimumab (Immunotherapy) and MGN1703 (TLR Agonist) in Patients With Advanced Solid Malignancies","Phase 1",2016-01-29,"University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States
",Yes,Yes,No,"Active, not recruiting","Ipilimumab, MGN1703"
